order_date,warehouse_name,total_orders
2026-04-29,Lucknow,115
2026-04-29,Mumbai,874
2026-04-29,Delhi,1831
2026-04-29,Bangalore,1015
2026-04-30,Lucknow,152
2026-04-30,Mumbai,1018
2026-04-30,Delhi,2955
2026-04-30,Bangalore,1613
2026-05-01,Delhi,3060
2026-05-01,Bangalore,1803
2026-05-01,Mumbai,946
2026-05-01,Lucknow,197
2026-05-02,Delhi,3066
2026-05-02,Mumbai,1379
2026-05-02,Bangalore,1139
2026-05-02,Lucknow,331
2026-05-02,DocPharma,20
2026-05-02,Kolkata,1
2026-05-03,Bangalore,1634
2026-05-03,Lucknow,342
2026-05-03,Delhi,2894
2026-05-03,Mumbai,928
2026-05-03,DocPharma,30
2026-05-04,Mumbai,981
2026-05-04,DocPharma,19
2026-05-04,Delhi,2632
2026-05-04,Lucknow,244
2026-05-04,Bangalore,1437
2026-05-05,Lucknow,320
2026-05-05,Mumbai,1130
2026-05-05,Bangalore,1754
2026-05-05,Delhi,2900
2026-05-05,DocPharma,33
2026-05-06,Kolkata,27
2026-05-06,Lucknow,323
2026-05-06,Delhi,2774
2026-05-06,Bangalore,1723
2026-05-06,Mumbai,1094
2026-05-06,DocPharma,35
2026-05-07,DocPharma,25
2026-05-07,Kolkata,105
2026-05-07,Bangalore,1695
2026-05-07,Mumbai,1131
2026-05-07,Delhi,2821
2026-05-07,Lucknow,375
2026-05-08,Lucknow,472
2026-05-08,Bangalore,1604
2026-05-08,DocPharma,36
2026-05-08,Delhi,2550
2026-05-08,Mumbai,1106
2026-05-08,Kolkata,105
2026-05-09,DocPharma,36
2026-05-09,Bangalore,1502
2026-05-09,Kolkata,77
2026-05-09,Mumbai,1046
2026-05-09,Delhi,2447
2026-05-09,Lucknow,518
2026-05-10,Kolkata,101
2026-05-10,Delhi,2386
2026-05-10,Lucknow,462
2026-05-10,Bangalore,1395
2026-05-10,Mumbai,1034
2026-05-10,DocPharma,35
2026-05-11,Bangalore,1722
2026-05-11,Kolkata,158
2026-05-11,Delhi,2075
2026-05-11,DocPharma,26
2026-05-11,Mumbai,1152
2026-05-11,Lucknow,561
2026-05-12,Delhi,2160
2026-05-12,Lucknow,775
2026-05-12,DocPharma,36
2026-05-12,Mumbai,1287
2026-05-12,Kolkata,221
2026-05-12,Bangalore,1322
2026-05-13,Mumbai,1054
2026-05-13,Lucknow,633
2026-05-13,DocPharma,27
2026-05-13,Delhi,2423
2026-05-13,Kolkata,262
2026-05-13,Bangalore,1459
2026-05-14,Lucknow,644
2026-05-14,Kolkata,251
2026-05-14,Delhi,2313
2026-05-14,DocPharma,44
2026-05-14,Mumbai,1097
2026-05-14,Bangalore,1483
2026-05-15,Lucknow,717
2026-05-15,DocPharma,25
2026-05-15,Bangalore,1384
2026-05-15,Delhi,1883
2026-05-15,Mumbai,1050
2026-05-15,Kolkata,225
2026-05-16,Bangalore,1475
2026-05-16,Lucknow,533
2026-05-16,Kolkata,176
2026-05-16,Delhi,2158
2026-05-16,Mumbai,1034
2026-05-16,DocPharma,28
2026-05-17,Mumbai,1074
2026-05-17,Lucknow,577
2026-05-17,Kolkata,236
2026-05-17,Delhi,2496
2026-05-17,DocPharma,26
2026-05-17,Bangalore,1401
2026-05-18,Bangalore,1432
2026-05-18,Delhi,2314
2026-05-18,DocPharma,33
2026-05-18,Mumbai,1162
2026-05-18,Kolkata,242
2026-05-18,Lucknow,522
2026-05-19,Delhi,1991
2026-05-19,Lucknow,746
2026-05-19,Mumbai,1111
2026-05-19,DocPharma,32
2026-05-19,Bangalore,1553
2026-05-19,Kolkata,283
2026-05-20,Kolkata,296
2026-05-20,Bangalore,1427
2026-05-20,Lucknow,760
2026-05-20,DocPharma,35
2026-05-20,Mumbai,1343
2026-05-20,Delhi,2113
2026-05-21,DocPharma,33
2026-05-21,Bangalore,1366
2026-05-21,Lucknow,542
2026-05-21,Kolkata,286
2026-05-21,Delhi,2138
2026-05-21,Mumbai,1231
2026-05-22,Mumbai,1211
2026-05-22,Lucknow,591
2026-05-22,Delhi,2275
2026-05-22,Kolkata,288
2026-05-22,Bangalore,1499
2026-05-22,DocPharma,42
2026-05-23,Lucknow,555
2026-05-23,Kolkata,292
2026-05-23,Delhi,2249
2026-05-23,Bangalore,1542
2026-05-23,DocPharma,19
2026-05-23,Mumbai,1083
2026-05-24,Kolkata,273
2026-05-24,Mumbai,1200
2026-05-24,Delhi,2421
2026-05-24,DocPharma,20
2026-05-24,Lucknow,531
2026-05-24,Bangalore,1553
2026-05-25,Mumbai,1182
2026-05-25,Bangalore,1597
2026-05-25,Lucknow,483
2026-05-25,DocPharma,29
2026-05-25,Kolkata,337
2026-05-25,Delhi,2376
2026-05-26,Bangalore,1513
2026-05-26,DocPharma,57
2026-05-26,Lucknow,527
2026-05-26,Kolkata,423
2026-05-26,Delhi,2231
2026-05-26,Mumbai,1132
2026-05-27,Lucknow,474
2026-05-27,Mumbai,1142
2026-05-27,DocPharma,41
2026-05-27,Bangalore,1405
2026-05-27,Kolkata,414
2026-05-27,Delhi,2077
2026-05-28,Delhi,2357
2026-05-28,Lucknow,457
2026-05-28,Kolkata,475
2026-05-28,Bangalore,1426
2026-05-28,DocPharma,36
2026-05-28,Mumbai,1112
2026-05-29,Lucknow,487
2026-05-29,Kolkata,480
2026-05-29,Mumbai,1142
2026-05-29,Delhi,2278
2026-05-29,DocPharma,34
2026-05-29,Bangalore,1521
2026-05-30,Bangalore,1650
2026-05-30,Mumbai,1154
2026-05-30,Lucknow,452
2026-05-30,DocPharma,63
2026-05-30,Delhi,2328
2026-05-30,Kolkata,533
2026-05-31,Mumbai,1099
2026-05-31,Delhi,2244
2026-05-31,Bangalore,1349
2026-05-31,Lucknow,479
2026-05-31,DocPharma,54
2026-05-31,Kolkata,664
2026-06-01,DocPharma,44
2026-06-01,Lucknow,620
2026-06-01,Mumbai,1147
2026-06-01,Bangalore,1586
2026-06-01,Kolkata,741
2026-06-01,Delhi,2165
2026-06-02,DocPharma,64
2026-06-02,Lucknow,761
2026-06-02,Bangalore,1598
2026-06-02,Delhi,2346
2026-06-02,Kolkata,832
2026-06-02,Mumbai,1253
2026-06-03,Delhi,2456
2026-06-03,DocPharma,52
2026-06-03,Mumbai,1147
2026-06-03,Bangalore,1558
2026-06-03,Lucknow,549
2026-06-03,Kolkata,940
2026-06-04,Kolkata,996
2026-06-04,Delhi,2282
2026-06-04,Lucknow,588
2026-06-04,Bangalore,1475
2026-06-04,Mumbai,1161
2026-06-04,DocPharma,57
2026-06-05,DocPharma,48
2026-06-05,Bangalore,1480
2026-06-05,Kolkata,1026
2026-06-05,Mumbai,1150
2026-06-05,Lucknow,524
2026-06-05,Delhi,2290
2026-06-06,Lucknow,634
2026-06-06,Delhi,2534
2026-06-06,Bangalore,1569
2026-06-06,DocPharma,50
2026-06-06,Mumbai,1129
2026-06-06,Kolkata,969
2026-06-07,DocPharma,46
2026-06-07,Delhi,2626
2026-06-07,Kolkata,1042
2026-06-07,Bangalore,1600
2026-06-07,Mumbai,1081
2026-06-07,Lucknow,648
2026-06-08,Kolkata,996
2026-06-08,Lucknow,517
2026-06-08,Bangalore,1565
2026-06-08,Delhi,2428
2026-06-08,Mumbai,1187
2026-06-08,DocPharma,48
2026-06-09,Delhi,2466
2026-06-09,Lucknow,553
2026-06-09,Mumbai,1183
2026-06-09,Bangalore,1481
2026-06-09,Kolkata,1041
2026-06-09,DocPharma,41
2026-06-10,Mumbai,1234
2026-06-10,DocPharma,47
2026-06-10,Kolkata,1060
2026-06-10,Lucknow,827
2026-06-10,Bangalore,1505
2026-06-10,Delhi,2238
2026-06-11,Kolkata,1101
2026-06-11,Bangalore,1658
2026-06-11,Delhi,2195
2026-06-11,Lucknow,901
2026-06-11,Mumbai,1282
2026-06-11,DocPharma,57
2026-06-12,Delhi,2198
2026-06-12,Bangalore,1278
2026-06-12,DocPharma,86
2026-06-12,Mumbai,1418
2026-06-12,Kolkata,795
2026-06-12,Lucknow,929
2026-06-13,Mumbai,1232
2026-06-13,Delhi,2557
2026-06-13,Lucknow,755
2026-06-13,Kolkata,1045
2026-06-13,DocPharma,94
2026-06-13,Bangalore,1547
2026-06-14,Bangalore,1469
2026-06-14,Delhi,2583
2026-06-14,Lucknow,626
2026-06-14,Kolkata,1069
2026-06-14,Mumbai,1057
2026-06-14,DocPharma,37
2026-06-15,Lucknow,1173
2026-06-15,Bangalore,1490
2026-06-15,Mumbai,1025
2026-06-15,Delhi,2238
2026-06-15,Kolkata,1107
2026-06-16,Lucknow,885
2026-06-16,Kolkata,1045
2026-06-16,Delhi,2326
2026-06-16,Mumbai,1068
2026-06-16,Bangalore,1545
2026-06-17,Mumbai,1112
2026-06-17,Delhi,2113
2026-06-17,Lucknow,1010
2026-06-17,DocPharma,70
2026-06-17,Kolkata,1088
2026-06-17,Bangalore,1297
2026-06-18,Delhi,2176
2026-06-18,Lucknow,682
2026-06-18,DocPharma,82
2026-06-18,Mumbai,1056
2026-06-18,Kolkata,1250
2026-06-18,Bangalore,1324
2026-06-19,Bangalore,1226
2026-06-19,Kolkata,1366
2026-06-19,Delhi,2139
2026-06-19,DocPharma,86
2026-06-19,Mumbai,1028
2026-06-19,Lucknow,707
2026-06-20,Bangalore,1246
2026-06-20,Delhi,2245
2026-06-20,DocPharma,66
2026-06-20,Lucknow,915
2026-06-20,Kolkata,1340
2026-06-20,Mumbai,1117
2026-06-21,Mumbai,1094
2026-06-21,Bangalore,1225
2026-06-21,Lucknow,674
2026-06-21,DocPharma,61
2026-06-21,Kolkata,1212
2026-06-21,Delhi,2266
2026-06-22,Kolkata,1286
2026-06-22,Mumbai,1142
2026-06-22,Delhi,2087
2026-06-22,DocPharma,64
2026-06-22,Lucknow,788
2026-06-22,Bangalore,1343
2026-06-23,Lucknow,834
2026-06-23,Kolkata,1430
2026-06-23,Delhi,2191
2026-06-23,Bangalore,1279
2026-06-23,DocPharma,42
2026-06-23,Mumbai,1010
2026-06-24,Mumbai,1062
2026-06-24,Lucknow,833
2026-06-24,Delhi,2164
2026-06-24,Kolkata,1530
2026-06-24,Bangalore,1308
2026-06-24,DocPharma,45
2026-06-25,DocPharma,43
2026-06-25,Delhi,2195
2026-06-25,Bangalore,1273
2026-06-25,Lucknow,881
2026-06-25,Kolkata,1359
2026-06-25,Mumbai,1102
2026-06-26,Kolkata,1522
2026-06-26,Bangalore,1393
2026-06-26,Lucknow,894
2026-06-26,DocPharma,44
2026-06-26,Mumbai,1213
2026-06-26,Delhi,2264
2026-06-27,Lucknow,990
2026-06-27,Mumbai,1190
2026-06-27,DocPharma,55
2026-06-27,Bangalore,1469
2026-06-27,Delhi,2275
2026-06-27,Kolkata,1452
2026-06-28,DocPharma,41
2026-06-28,Mumbai,1219
2026-06-28,Delhi,2352
2026-06-28,Bangalore,1403
2026-06-28,Lucknow,856
2026-06-28,Kolkata,1574
2026-06-29,DocPharma,45
2026-06-29,Lucknow,1137
2026-06-29,Delhi,2311
2026-06-29,Bangalore,1779
2026-06-29,Kolkata,1598
2026-06-29,Mumbai,801
2026-06-30,DocPharma,74
2026-06-30,Lucknow,1692
2026-06-30,Mumbai,18
2026-06-30,Bangalore,2391
2026-06-30,Kolkata,1648
2026-06-30,Delhi,2644
2026-07-01,Mumbai,633
2026-07-01,Delhi,2615
2026-07-01,Bangalore,2149
2026-07-01,Lucknow,1159
2026-07-01,DocPharma,56
2026-07-01,Kolkata,1655
2026-07-02,Bangalore,1591
2026-07-02,Mumbai,1411
2026-07-02,Lucknow,1163
2026-07-02,Delhi,2434
2026-07-02,DocPharma,53
2026-07-02,Kolkata,1626
2026-07-03,Delhi,2419
2026-07-03,Lucknow,956
2026-07-03,Kolkata,1676
2026-07-03,Mumbai,1223
2026-07-03,DocPharma,37
2026-07-03,Bangalore,1485
2026-07-04,Delhi,2390
2026-07-04,Lucknow,1043
2026-07-04,Kolkata,1590
2026-07-04,Bangalore,1524
2026-07-04,DocPharma,41
2026-07-04,Mumbai,1544
2026-07-05,Lucknow,1124
2026-07-05,Mumbai,1202
2026-07-05,DocPharma,32
2026-07-05,Bangalore,1562
2026-07-05,Kolkata,1611
2026-07-05,Delhi,2539
2026-07-06,Lucknow,869
2026-07-06,DocPharma,53
2026-07-06,Delhi,2209
2026-07-06,Kolkata,1579
2026-07-06,Bangalore,1581
2026-07-06,Mumbai,1446
2026-07-07,Delhi,2213
2026-07-07,Mumbai,1462
2026-07-07,Bangalore,1344
2026-07-07,Kolkata,1515
2026-07-07,DocPharma,35
2026-07-07,Lucknow,840
2026-07-08,Lucknow,777
2026-07-08,Kolkata,1599
2026-07-08,Mumbai,1365
2026-07-08,Delhi,2203
2026-07-08,DocPharma,42
2026-07-08,Bangalore,1379
2026-07-09,Kolkata,1591
2026-07-09,Delhi,2193
2026-07-09,Bangalore,1376
2026-07-09,DocPharma,48
2026-07-09,Mumbai,1456
2026-07-09,Lucknow,877
2026-07-10,Kolkata,1561
2026-07-10,Delhi,2236
2026-07-10,Lucknow,878
2026-07-10,Mumbai,1309
2026-07-10,Bangalore,1350
2026-07-10,DocPharma,30
2026-07-11,Mumbai,1419
2026-07-11,Delhi,2185
2026-07-11,Bangalore,1409
2026-07-11,DocPharma,26
2026-07-11,Kolkata,1541
2026-07-11,Lucknow,1015
2026-07-12,Mumbai,1339
2026-07-12,Bangalore,1372
2026-07-12,Delhi,2391
2026-07-12,Kolkata,1510
2026-07-12,DocPharma,26
2026-07-12,Lucknow,935
2026-07-13,Delhi,2303
2026-07-13,Kolkata,1507
2026-07-13,Lucknow,964
2026-07-13,Mumbai,1488
2026-07-13,DocPharma,33
2026-07-13,Bangalore,1458
2026-07-14,Kolkata,1502
2026-07-14,DocPharma,35
2026-07-14,Bangalore,1395
2026-07-14,Delhi,2263
2026-07-14,Lucknow,974
2026-07-14,Mumbai,1429
2026-07-15,Bangalore,1450
2026-07-15,Mumbai,1358
2026-07-15,DocPharma,38
2026-07-15,Kolkata,1548
2026-07-15,Delhi,2513
2026-07-15,Lucknow,808
2026-07-16,Kolkata,1450
2026-07-16,Lucknow,852
2026-07-16,Delhi,2373
2026-07-16,DocPharma,30
2026-07-16,Bangalore,1285
2026-07-16,Mumbai,1344
2026-07-17,Delhi,2165
2026-07-17,Lucknow,744
2026-07-17,Mumbai,1359
2026-07-17,Kolkata,1383
2026-07-17,Bangalore,1205
2026-07-17,DocPharma,33
2026-07-18,DocPharma,61
2026-07-18,Delhi,2320
2026-07-18,Bangalore,1340
2026-07-18,Kolkata,1461
2026-07-18,Lucknow,861
2026-07-18,Mumbai,1343
2026-07-19,Lucknow,806
2026-07-19,Mumbai,1271
2026-07-19,DocPharma,95
2026-07-19,Delhi,2300
2026-07-19,Kolkata,1625
2026-07-19,Bangalore,1427
2026-07-20,Mumbai,1382
2026-07-20,Kolkata,1422
2026-07-20,Delhi,2405
2026-07-20,Bangalore,1512
2026-07-20,DocPharma,80
2026-07-20,Lucknow,691
2026-07-21,Kolkata,1545
2026-07-21,Mumbai,1344
2026-07-21,DocPharma,96
2026-07-21,Lucknow,791
2026-07-21,Bangalore,1427
2026-07-21,Delhi,2415
2026-07-22,DocPharma,86
2026-07-22,Delhi,2458
2026-07-22,Lucknow,732
2026-07-22,Bangalore,1353
2026-07-22,Kolkata,1367
2026-07-22,Mumbai,1273
2026-07-23,DocPharma,84
2026-07-23,Lucknow,858
2026-07-23,Mumbai,1281
2026-07-23,Delhi,2419
2026-07-23,Bangalore,1440
2026-07-23,Kolkata,1230
2026-07-24,Kolkata,1264
2026-07-24,Mumbai,1284
2026-07-24,Delhi,2389
2026-07-24,DocPharma,71
2026-07-24,Bangalore,1508
2026-07-24,Lucknow,889
2026-07-25,Mumbai,1485
2026-07-25,Bangalore,1404
2026-07-25,DocPharma,70
2026-07-25,Lucknow,1000
2026-07-25,Delhi,2530
2026-07-25,Kolkata,1243
2026-07-26,Delhi,2588
2026-07-26,Mumbai,1427
2026-07-26,Kolkata,1304
2026-07-26,Lucknow,927
2026-07-26,Bangalore,1450
2026-07-26,DocPharma,85
2026-07-27,Bangalore,1548
2026-07-27,Delhi,2551
2026-07-27,Kolkata,1385
2026-07-27,Lucknow,979
2026-07-27,Mumbai,1604
2026-07-27,DocPharma,85
2026-07-28,Lucknow,309
2026-07-28,DocPharma,14
2026-07-28,Kolkata,425
2026-07-28,Bangalore,389
2026-07-28,Mumbai,422
2026-07-28,Delhi,798
