user_id,total_orders
1,5
114,4
117,47
125,1858
132,1393
139,488
157,1236
158,2878
184,16365
185,6680
193,241
200,628
206,699
217,919
226,3075
230,12259
231,1089
245,1452
264,13510
267,787
271,2
288,698
354,2365
403,5192
554,11
555,7256
560,7550
561,5739
562,10904
564,21885
565,16302
566,148
567,4385
569,6579
610,37
649,4515
760,848
795,6660
867,259
966,559
1015,6029
1092,322
1097,3419
1168,564
1209,9395
1279,2220
1456,2269
1594,8517
1662,13
1829,20540
1896,2708
1996,254
2035,5048
2141,1
2207,5093
2242,284
2243,82
2244,7
2246,286
2247,19882
2248,31
2353,102
2654,6898
2867,12465
3035,36
3170,1543
3204,2546
3205,42
3338,9952
3339,119
3438,9400
3506,11579
3776,145
3944,8008
3945,23
4011,908
4012,23107
4013,2738
4014,18966
4415,38
4422,7953
4456,4096
4556,2
4557,67
4660,18562
4661,4056
4694,5672
4760,2
5061,2049
5062,124
5129,196
5296,33
5362,93
5363,18272
5396,4265
5397,500
5398,307
5465,2461
5466,5283
5499,10751
5565,7211
5566,8601
5601,137
5603,5439
5604,95
5704,341
5803,27
5875,8414
5876,398
5909,145
6010,3044
6011,39
6012,100
6185,33
6317,2121
6383,6198
6451,9448
6484,113
6485,79
6486,10145
6527,192
6528,76
6529,8318
6530,2549
6531,9208
6532,2744
6599,6286
6633,245
6666,11
6732,6141
6832,423
6833,1445
6900,15735
6936,8909
7039,190
7041,14157
7075,8189
7076,4914
7109,243
7142,15468
7208,9079
7241,3
7275,15569
7309,9863
7310,10882
7312,9155
7313,1899
7314,6
7315,10014
7384,1724
7483,6832
7485,638
7486,8144
7487,8320
7488,3759
7489,52
7656,18301
7658,9398
7762,826
7836,804
7837,21496
7838,2902
7839,9773
7940,57
7973,2566
7974,98
7975,97
7976,10158
7979,2661
7980,8370
7981,1
7982,427
7983,6223
7984,7016
7985,988
7986,519
7987,46
7989,464
7990,692
7991,959
7992,6848
8029,113
8030,62
8098,308
8099,30
8100,13
8133,493
8134,7132
8167,364
8201,14543
8304,94
8337,662
8370,1750
8469,682
8502,1469
8568,215
8634,9476
8635,38
8636,123
8702,3964
8735,11734
8768,142
8801,962
8834,3423
8835,3849
8836,8192
8837,1270
8838,3937
8839,11679
8840,4744
8841,1792
8842,6072
8843,6254
8844,144
8845,4271
8846,1896
8847,4750
8849,268
8853,3697
8855,1
8891,222
8963,8922
9062,9598
9095,11903
9096,3703
9098,5
9099,2800
9100,2158
9101,212
9102,26
9135,4009
9136,5093
9169,4949
9170,169
9171,275
9172,5737
9173,10856
9208,6838
9209,520
9275,161
9308,8783
9309,8439
9342,267
9444,114
9477,262
9478,640
9479,585
9480,4724
9481,5581
9482,4930
9483,4100
9484,339
9616,3842
9650,6723
9717,2058
9783,6998
9851,2550
9884,323
10051,73
10052,436
10053,97
10055,82
10121,77
10154,3223
10188,7002
10189,6736
10191,3038
10192,5749
10193,5617
10227,9715
10293,2401
10326,5338
10359,584
10392,9401
10393,3875
10394,316
10395,292
10396,5132
10429,394
10495,71
10528,3496
10529,6344
10530,5353
10563,2
10596,7215
10629,5229
10695,5092
10696,6078
10729,4974
10730,4272
10731,655
10732,1
10733,3650
10734,3795
10735,60
10736,73
10737,9198
10770,5452
10836,801
10902,4085
10970,8
11040,3795
11073,11815
11106,9
11139,144
11206,3388
11207,32
11342,5947
11343,6561
11376,7323
11409,3558
11442,172
11475,3864
11508,86
11609,4391
11642,30
11675,1
11876,495
11877,1283
11878,2444
11980,66
11981,194
12146,4302
12182,2496
12416,756
12417,1206
12418,814
12491,31
12524,4074
12590,4383
12623,2744
12656,1363
12689,1
12821,20
12997,1378
12998,1727
12999,1386
13133,3665
13367,1185
13505,866
13538,1474
13645,727
13711,441
13844,3
