user_id,name,total_orders
17102,Nandlal_PAT,1271
18465,Akanksha_LKO,271
14684,Kishore_HYD,35
13986,Sintu_PAT,1
14638,Ruchi_PAT,22
14677,Ashok_PAT,1
13844,AnshuG_MUM,7376
8635,Neeru_DEL,17198
14599,Radha_PAT,236
7486,MaheshK_MUM,30
5398,Sangam_MUMWH,148
8852,Papri_KOL,5784
11708,Raksha_BLRWH,15136
18113,Mansi-S_MUM,671
5876,VandanaG_MUM,167
10495,NishaS_Mum,14304
10053,PrathameshD_MUM,3377
11541,Koushal_KOL,4883
1996,Naveen_BLR,39
6531,Mukesh_DEL,301
14634,Jyoti_PAT,3198
7979,Muskan_LKO,36
10732,Raj.V_LKO,11942
9478,Aditya_KOL,6325
8,Gaurav,4
8848,Soma_KOL,12045
7039,vaishaliB_MUM,11172
158,SUMITH,215
8843,Jostasna_KOL,2985
555,Pankaj,507
15131,Annu_DEL,7669
6383,ShivamS_MUM,1463
15098,Indra_HYD,2037
1896,Shivam.KR_DEL,2332
14094,Lokesh_BLRWH,56
6485,DipaliB_MUM,21
7489,SayaliM_MUM,30
13334,KasturiR_MUM,9949
10729,Suraj.K_LKO,15
5129,VANDANA_DEL,12998
14795,Keertana_HYD,3588
18080,Shilpa-G_MUM,141
760,Rajiv_DEL,940
5601,Vandana_MUM,1066
7208,SakshiH_MUM,1089
14676,Aditya_PAT,254
7975,Shahzeb_LKO,1
9136,Gopal_KOL,71
966,Akash_DEL,2728
17844,Nitin_LKO,1093
11709,Ravi_BLRWH,1711
9099,Amit_kol,340
8846,Shamim_KOL,1209
7487,SapnaY_MUM,846
10394,Adiba.F_LKO,14834
14428,Pooja-DEL,6253
14681,Aman_PAT,8
561,Soni_Del,448
1168,Ronu_DEL,224
8849,Sangita_KOL,10956
3339,Shailesh_DEL,25905
14672,Navita_PAT,853
5466,Rajesh_MUM,176
5671,kannanmuthu_BLRWH,15382
5566,Sakshi_MUM,653
7315,AmishaG_MUM,827
403,Siddarth_BLRWH,1997
8702,Shivaraj_BLRWH,2133
114,Charan,103
18079,Kajal-R_MUM,566
12418,Rabinaiya_KOL,1315
6484,SujalS_MUM,7021
7488,KritikaD_MUM,8263
16804,Subhash Kumar,35
9479,Sourav_KOL,9953
9617,Metha_BLRWH,235
14127,Naveen_MWH,35
15368,Akhil_HYD,1983
7985,Roshani_LKO,16773
14499,Sonu_PAT,2
554,Kushank,4
5362,ALAM.SHAH_DEL,5450
8845,Anurag_KOL,162
16803,Gautam_Pat,2460
9029,PraneetG_MUM,1306
7990,Dheeraj_LKO,4430
10737,Shivam.V_LKO,41
5396,Rupa_MUMWH,143
117,Dikshith,6
11442,Satish_LKO,6
12557,Vikas-DEL,10969
13711,Jeetmondal_KOL,133
2353,Seema_DEL,14379
1015,Ankit_DEL,7
566,Sudha_Del,16854
14427,Devki-DEL,7722
6451,JyotiD_MUM,10
649,Roshan_DEL,8
8202,Asha_BLRWH,17082
9100,Ratan_kol,712
8735,Saviti_LKO,74
18570,Padma_HYD,46
8669,Santosh_KOL,1
7986,Arti_LKO,17669
6185,Hussain_MUM,83
14464,Shabana_BLRWH,9977
4179,Sumathi_BLR,14409
400,Shwetha_BLRWH,19231
206,Vasantha,736
17811,Salman-K_MUM,1097
6010,HarshadaM_MUM,1460
11543,Sudip_KOL,10831
6529,GaneshK_MUM,283
15334,KishanD_MUM,3726
5565,Pragati_MUM,882
14600,Manisha_PAT,512
3035,Mahesh_BLRWH,2
14463,Padmaja_HYD,2950
562,Vishek_Del,15
11875,Sahabaz_KOL,9833
8891,Anuj.S_LKO,4743
10695,Babita_DEL,6089
12382,Shivani_DEL,14233
9480,Kanhaiya_KOL,45
5704,AkashR_MUM,141
185,ChandraKanth,1179
10191,Abhijeet_DEL,9865
16770,Shafeeque_lko,5072
9097,Kaveri_BLRWH,16028
125,Mahantaya,357
5062,CHANDAN_DEL,15896
5397,Amol_MUMWH,36
10736,JayeshW_MUM,9187
18179,Mirza-HYD,719
567,Muskan_Del,941
10731,Kapil.K_LKO,5337
4456,Durgesh_DEL,1225
10902,Shyam_PAT,147
16186,Bunny_HYD,748
14678,Abhishek_PAT,31
7973,Saurabh_LKO,269
14533,Gourav_PAT,15
8996,Karthik_BLRWH,327
5603,Satish_MUM,10
111,abhishek,870
6532,PrathmeshP_MUM,7730
4661,Tharun_BLRWH,1819
9484,Debashish_KOL,8260
17367,Vipin-P_MUM,18
6527,MayuriK_MUM,13175
10662,Pravendra_DEL,15339
6486,TarunP_MUM,1400
12416,Surajhalder_KOL,6458
5875,OmkarK_MUM,266
8840,Pradip_KOL,58
9477,Surojit_KOL,10122
12821,Raju_MWH,6
10392,Anshu.S_LKO,277
10735,AdityaB_MUM,4604
7976,Sachin_LKO,859
14683,Mdabdullah_PAT,8
12383,Janvi_DEL,10669
8851,Sayanti_KOL,15680
14674,Sunny_PAT,153
6011,AnkurS_MUM,35
10192,Roshan_P-DEL,215
8133,Fardeen_BLRWH,13512
11542,Sunil_KOL,10109
7075,ShubhamS_MUM,351
